,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,290.0,24.0,8.0,0.0,9.0,476.0,29.0,181.0
EPAD,579.0,51.0,2.0,7.0,23.0,426.0,6.0,143.0
AIBL,18.0,0.0,2.0,0.0,0.0,29.0,0.0,8.0
ARWIBO,59.0,0.0,5.0,1.0,0.0,113.0,39.0,0.0
EDSD,21.0,0.0,3.0,2.0,1.0,39.0,11.0,8.0
PREVENT-AD,104.0,10.0,6.0,0.0,0.0,7.0,5.0,1.0
PharmaCog,43.0,0.0,2.0,0.0,1.0,70.0,6.0,23.0
NACC,143.0,6.0,7.0,9.0,12.0,203.0,61.0,65.0
EMIF,293.0,17.0,16.0,5.0,30.0,421.0,70.0,162.0
DOD-ADNI,91.0,10.0,0.0,2.0,1.0,7.0,0.0,2.0
JADNI,57.0,0.0,1.0,0.0,10.0,71.0,7.0,51.0
