,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,288.0,23.0,8.0,0.0,7.0,474.0,33.0,184.0
EPAD,593.0,52.0,2.0,7.0,24.0,412.0,6.0,141.0
AIBL,15.0,0.0,3.0,0.0,0.0,28.0,2.0,9.0
ARWIBO,61.0,1.0,4.0,2.0,3.0,112.0,22.0,12.0
EDSD,22.0,1.0,3.0,1.0,0.0,38.0,15.0,5.0
PREVENT-AD,94.0,7.0,2.0,1.0,0.0,24.0,1.0,4.0
PharmaCog,48.0,0.0,0.0,1.0,6.0,73.0,0.0,17.0
NACC,162.0,5.0,11.0,13.0,18.0,189.0,46.0,62.0
EMIF,306.0,15.0,9.0,8.0,42.0,428.0,58.0,148.0
DOD-ADNI,17.0,5.0,0.0,2.0,2.0,80.0,0.0,7.0
JADNI,44.0,0.0,4.0,0.0,5.0,66.0,13.0,65.0
