,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,263.0,32.0,11.0,0.0,38.0,402.0,9.0,262.0
EPAD,577.0,50.0,6.0,4.0,16.0,431.0,6.0,147.0
AIBL,16.0,0.0,2.0,0.0,1.0,29.0,1.0,8.0
ARWIBO,60.0,6.0,4.0,2.0,7.0,97.0,22.0,19.0
EDSD,22.0,2.0,2.0,1.0,8.0,30.0,4.0,16.0
PREVENT-AD,105.0,2.0,0.0,0.0,0.0,26.0,0.0,0.0
PharmaCog,46.0,0.0,0.0,2.0,15.0,72.0,0.0,10.0
NACC,156.0,3.0,12.0,4.0,12.0,210.0,49.0,60.0
EMIF,281.0,18.0,15.0,7.0,42.0,406.0,59.0,186.0
DOD-ADNI,33.0,7.0,0.0,2.0,1.0,63.0,0.0,7.0
JADNI,54.0,0.0,1.0,0.0,28.0,70.0,2.0,42.0
