,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,261.0,19.0,1.0,0.0,21.0,515.0,14.0,186.0
EPAD,589.0,53.0,4.0,6.0,17.0,412.0,9.0,147.0
AIBL,2.0,1.0,0.0,9.0,20.0,13.0,0.0,12.0
ARWIBO,30.0,1.0,2.0,3.0,6.0,135.0,21.0,19.0
EDSD,19.0,1.0,4.0,1.0,2.0,36.0,11.0,11.0
PREVENT-AD,104.0,1.0,0.0,4.0,2.0,22.0,0.0,0.0
PharmaCog,44.0,0.0,0.0,0.0,21.0,77.0,0.0,3.0
NACC,186.0,6.0,11.0,6.0,17.0,184.0,42.0,54.0
EMIF,298.0,14.0,12.0,9.0,41.0,420.0,65.0,155.0
DOD-ADNI,36.0,6.0,0.0,2.0,2.0,61.0,0.0,6.0
JADNI,55.0,0.0,2.0,0.0,12.0,63.0,7.0,58.0
