,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,301.0,28.0,6.0,0.0,8.0,449.0,26.0,199.0
EPAD,582.0,62.0,4.0,3.0,15.0,399.0,9.0,163.0
AIBL,16.0,0.0,2.0,0.0,0.0,29.0,1.0,9.0
ARWIBO,98.0,46.0,18.0,11.0,1.0,17.0,8.0,18.0
EDSD,22.0,1.0,3.0,1.0,2.0,36.0,9.0,11.0
PREVENT-AD,97.0,8.0,3.0,1.0,0.0,19.0,3.0,2.0
PharmaCog,44.0,1.0,3.0,0.0,1.0,63.0,11.0,22.0
NACC,134.0,10.0,7.0,10.0,20.0,213.0,40.0,72.0
EMIF,298.0,12.0,10.0,3.0,33.0,477.0,44.0,137.0
DOD-ADNI,50.0,7.0,0.0,1.0,0.0,47.0,0.0,8.0
JADNI,98.0,57.0,7.0,19.0,1.0,8.0,1.0,6.0
