,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,255.0,24.0,4.0,0.0,34.0,453.0,10.0,237.0
EPAD,596.0,49.0,3.0,6.0,21.0,418.0,3.0,141.0
AIBL,10.0,0.0,1.0,1.0,0.0,33.0,3.0,9.0
ARWIBO,63.0,0.0,10.0,1.0,0.0,101.0,42.0,0.0
EDSD,21.0,1.0,5.0,1.0,0.0,28.0,11.0,18.0
PREVENT-AD,1.0,1.0,3.0,0.0,0.0,44.0,71.0,13.0
PharmaCog,47.0,0.0,0.0,2.0,24.0,71.0,0.0,1.0
NACC,155.0,2.0,12.0,2.0,10.0,229.0,52.0,44.0
EMIF,314.0,19.0,15.0,10.0,41.0,407.0,63.0,145.0
DOD-ADNI,50.0,9.0,2.0,0.0,0.0,44.0,0.0,8.0
JADNI,55.0,0.0,1.0,0.0,29.0,68.0,2.0,42.0
