,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,292.0,26.0,5.0,0.0,17.0,468.0,21.0,188.0
EPAD,568.0,56.0,3.0,3.0,18.0,421.0,10.0,158.0
AIBL,15.0,0.0,2.0,0.0,0.0,30.0,1.0,9.0
ARWIBO,60.0,0.0,5.0,1.0,0.0,117.0,34.0,0.0
EDSD,18.0,1.0,4.0,1.0,2.0,39.0,9.0,11.0
PREVENT-AD,80.0,21.0,0.0,20.0,0.0,6.0,0.0,6.0
PharmaCog,46.0,1.0,2.0,0.0,2.0,70.0,3.0,21.0
NACC,164.0,5.0,4.0,3.0,14.0,205.0,48.0,63.0
EMIF,361.0,20.0,6.0,16.0,43.0,411.0,32.0,125.0
DOD-ADNI,53.0,7.0,0.0,1.0,0.0,44.0,0.0,8.0
JADNI,54.0,0.0,2.0,0.0,13.0,63.0,7.0,58.0
