,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,267.0,32.0,7.0,0.0,44.0,418.0,7.0,242.0
EPAD,571.0,49.0,2.0,7.0,22.0,434.0,6.0,146.0
AIBL,16.0,0.0,2.0,0.0,0.0,29.0,1.0,9.0
ARWIBO,55.0,0.0,14.0,1.0,0.0,85.0,62.0,0.0
EDSD,19.0,2.0,2.0,1.0,7.0,34.0,5.0,15.0
PREVENT-AD,91.0,16.0,0.0,12.0,1.0,7.0,1.0,5.0
PharmaCog,46.0,1.0,2.0,0.0,1.0,66.0,6.0,23.0
NACC,172.0,4.0,8.0,2.0,4.0,212.0,56.0,48.0
EMIF,281.0,13.0,13.0,4.0,31.0,429.0,84.0,159.0
DOD-ADNI,38.0,8.0,0.0,0.0,0.0,59.0,0.0,8.0
JADNI,55.0,0.0,1.0,0.0,24.0,72.0,2.0,43.0
