,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,270.0,33.0,7.0,0.0,48.0,411.0,5.0,243.0
EPAD,593.0,49.0,3.0,6.0,21.0,421.0,3.0,141.0
AIBL,16.0,0.0,2.0,0.0,0.0,31.0,0.0,8.0
ARWIBO,55.0,2.0,15.0,1.0,1.0,76.0,56.0,11.0
EDSD,20.0,1.0,9.0,0.0,0.0,23.0,28.0,4.0
PREVENT-AD,108.0,9.0,2.0,1.0,0.0,10.0,1.0,2.0
PharmaCog,45.0,1.0,2.0,0.0,1.0,63.0,11.0,22.0
NACC,150.0,6.0,13.0,11.0,9.0,169.0,73.0,75.0
EMIF,299.0,17.0,12.0,7.0,39.0,407.0,61.0,172.0
DOD-ADNI,25.0,10.0,0.0,2.0,1.0,67.0,0.0,8.0
JADNI,52.0,0.0,4.0,0.0,3.0,62.0,12.0,64.0
