,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,281.0,27.0,0.0,2.0,42.0,472.0,5.0,188.0
EPAD,600.0,44.0,8.0,2.0,13.0,427.0,5.0,138.0
AIBL,10.0,0.0,0.0,1.0,1.0,37.0,0.0,8.0
ARWIBO,53.0,0.0,17.0,1.0,0.0,78.0,68.0,0.0
EDSD,20.0,1.0,4.0,1.0,0.0,39.0,15.0,5.0
PREVENT-AD,106.0,11.0,0.0,1.0,1.0,11.0,1.0,2.0
PharmaCog,48.0,0.0,0.0,1.0,22.0,73.0,0.0,1.0
NACC,138.0,12.0,10.0,12.0,19.0,182.0,52.0,81.0
EMIF,283.0,16.0,19.0,4.0,21.0,398.0,91.0,182.0
DOD-ADNI,46.0,7.0,0.0,5.0,2.0,46.0,0.0,7.0
JADNI,52.0,0.0,1.0,0.0,19.0,81.0,2.0,42.0
