,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,277.0,24.0,5.0,0.0,12.0,473.0,21.0,205.0
EPAD,589.0,46.0,6.0,4.0,15.0,433.0,4.0,140.0
AIBL,14.0,1.0,1.0,2.0,4.0,24.0,1.0,10.0
ARWIBO,54.0,1.0,4.0,2.0,3.0,119.0,26.0,8.0
EDSD,17.0,2.0,6.0,0.0,0.0,25.0,19.0,16.0
PREVENT-AD,104.0,11.0,0.0,4.0,0.0,10.0,1.0,3.0
PharmaCog,42.0,0.0,0.0,0.0,23.0,79.0,0.0,1.0
NACC,155.0,7.0,8.0,10.0,16.0,190.0,49.0,71.0
EMIF,287.0,20.0,19.0,14.0,37.0,361.0,80.0,196.0
DOD-ADNI,38.0,6.0,0.0,2.0,1.0,59.0,0.0,7.0
JADNI,56.0,0.0,0.0,0.0,54.0,83.0,0.0,4.0
