,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,276.0,21.0,4.0,0.0,9.0,512.0,19.0,176.0
EPAD,575.0,50.0,3.0,6.0,20.0,433.0,6.0,144.0
AIBL,19.0,0.0,2.0,0.0,0.0,26.0,1.0,9.0
ARWIBO,48.0,4.0,0.0,10.0,41.0,86.0,0.0,28.0
EDSD,20.0,2.0,4.0,1.0,2.0,27.0,10.0,19.0
PREVENT-AD,0.0,1.0,0.0,0.0,1.0,117.0,1.0,13.0
PharmaCog,44.0,1.0,3.0,0.0,1.0,61.0,12.0,23.0
NACC,167.0,6.0,11.0,9.0,13.0,178.0,62.0,60.0
EMIF,318.0,14.0,8.0,8.0,48.0,445.0,37.0,136.0
DOD-ADNI,47.0,6.0,0.0,2.0,2.0,50.0,0.0,6.0
JADNI,54.0,0.0,1.0,0.0,27.0,69.0,2.0,44.0
