,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,259.0,31.0,10.0,0.0,44.0,411.0,4.0,258.0
EPAD,576.0,58.0,2.0,3.0,18.0,414.0,10.0,156.0
AIBL,0.0,3.0,0.0,19.0,23.0,0.0,0.0,12.0
ARWIBO,59.0,2.0,8.0,1.0,3.0,93.0,42.0,9.0
EDSD,21.0,2.0,4.0,1.0,6.0,30.0,5.0,16.0
PREVENT-AD,85.0,8.0,1.0,1.0,0.0,31.0,1.0,6.0
PharmaCog,41.0,0.0,1.0,0.0,2.0,74.0,5.0,22.0
NACC,172.0,6.0,9.0,4.0,13.0,196.0,50.0,56.0
EMIF,305.0,16.0,16.0,5.0,35.0,413.0,69.0,155.0
DOD-ADNI,49.0,8.0,0.0,3.0,0.0,45.0,0.0,8.0
JADNI,55.0,0.0,1.0,0.0,22.0,61.0,5.0,53.0
