,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,284.0,25.0,4.0,0.0,20.0,474.0,18.0,192.0
EPAD,590.0,48.0,6.0,4.0,17.0,426.0,6.0,140.0
AIBL,20.0,0.0,2.0,0.0,0.0,24.0,2.0,9.0
ARWIBO,51.0,7.0,2.0,8.0,14.0,90.0,12.0,33.0
EDSD,19.0,2.0,3.0,1.0,6.0,32.0,6.0,16.0
PREVENT-AD,86.0,10.0,0.0,13.0,2.0,17.0,0.0,5.0
PharmaCog,46.0,2.0,1.0,0.0,2.0,67.0,4.0,23.0
NACC,160.0,6.0,9.0,5.0,16.0,202.0,42.0,66.0
EMIF,310.0,22.0,12.0,10.0,44.0,401.0,55.0,160.0
DOD-ADNI,32.0,10.0,1.0,2.0,2.0,58.0,0.0,8.0
JADNI,50.0,0.0,3.0,0.0,7.0,63.0,11.0,63.0
