,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,267.0,33.0,10.0,0.0,42.0,403.0,5.0,257.0
EPAD,565.0,54.0,3.0,3.0,18.0,429.0,11.0,154.0
AIBL,10.0,1.0,1.0,0.0,0.0,33.0,3.0,9.0
ARWIBO,61.0,1.0,4.0,2.0,0.0,115.0,29.0,5.0
EDSD,25.0,0.0,2.0,2.0,5.0,40.0,2.0,9.0
PREVENT-AD,83.0,11.0,0.0,10.0,2.0,21.0,0.0,6.0
PharmaCog,26.0,1.0,25.0,0.0,0.0,18.0,52.0,23.0
NACC,178.0,7.0,5.0,3.0,11.0,190.0,54.0,58.0
EMIF,303.0,12.0,10.0,7.0,42.0,434.0,57.0,149.0
DOD-ADNI,7.0,3.0,0.0,2.0,3.0,92.0,0.0,6.0
JADNI,54.0,1.0,1.0,1.0,30.0,44.0,2.0,64.0
