,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,256.0,27.0,9.0,0.0,48.0,406.0,3.0,268.0
EPAD,583.0,47.0,4.0,5.0,18.0,436.0,3.0,141.0
AIBL,19.0,0.0,2.0,1.0,0.0,24.0,2.0,9.0
ARWIBO,57.0,1.0,4.0,2.0,3.0,115.0,26.0,9.0
EDSD,21.0,1.0,5.0,0.0,0.0,37.0,20.0,1.0
PREVENT-AD,82.0,1.0,4.0,0.0,0.0,39.0,6.0,1.0
PharmaCog,45.0,1.0,4.0,0.0,1.0,60.0,12.0,22.0
NACC,148.0,4.0,10.0,3.0,14.0,224.0,44.0,59.0
EMIF,310.0,14.0,10.0,7.0,32.0,436.0,67.0,138.0
DOD-ADNI,13.0,4.0,0.0,2.0,3.0,86.0,0.0,5.0
JADNI,54.0,0.0,1.0,0.0,21.0,67.0,3.0,51.0
