,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,276.0,36.0,10.0,0.0,41.0,379.0,9.0,266.0
EPAD,600.0,44.0,8.0,2.0,14.0,426.0,3.0,140.0
AIBL,16.0,0.0,2.0,0.0,1.0,30.0,0.0,8.0
ARWIBO,62.0,2.0,3.0,2.0,6.0,107.0,20.0,15.0
EDSD,18.0,2.0,5.0,1.0,2.0,24.0,13.0,20.0
PREVENT-AD,86.0,7.0,0.0,2.0,1.0,31.0,1.0,5.0
PharmaCog,48.0,1.0,0.0,0.0,6.0,72.0,1.0,17.0
NACC,167.0,6.0,9.0,6.0,10.0,179.0,59.0,70.0
EMIF,312.0,16.0,11.0,6.0,37.0,455.0,48.0,129.0
DOD-ADNI,16.0,8.0,1.0,0.0,0.0,79.0,0.0,9.0
JADNI,56.0,0.0,1.0,0.0,30.0,66.0,2.0,42.0
