,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,286.0,23.0,6.0,0.0,10.0,485.0,26.0,181.0
EPAD,591.0,55.0,2.0,6.0,20.0,406.0,8.0,149.0
AIBL,15.0,0.0,2.0,0.0,1.0,31.0,0.0,8.0
ARWIBO,56.0,5.0,12.0,2.0,3.0,73.0,47.0,19.0
EDSD,22.0,1.0,7.0,1.0,0.0,26.0,21.0,7.0
PREVENT-AD,59.0,14.0,3.0,6.0,0.0,39.0,2.0,10.0
PharmaCog,47.0,1.0,2.0,0.0,1.0,67.0,5.0,22.0
NACC,161.0,3.0,10.0,2.0,8.0,215.0,57.0,50.0
EMIF,319.0,19.0,9.0,13.0,49.0,402.0,51.0,152.0
DOD-ADNI,38.0,7.0,0.0,1.0,1.0,59.0,0.0,7.0
JADNI,95.0,13.0,0.0,20.0,31.0,30.0,2.0,6.0
