,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,274.0,30.0,12.0,0.0,3.0,439.0,31.0,228.0
EPAD,600.0,48.0,6.0,4.0,15.0,423.0,3.0,138.0
AIBL,15.0,0.0,2.0,0.0,1.0,30.0,1.0,8.0
ARWIBO,59.0,3.0,9.0,1.0,4.0,90.0,35.0,16.0
EDSD,21.0,2.0,3.0,1.0,7.0,31.0,5.0,15.0
PREVENT-AD,101.0,14.0,1.0,4.0,0.0,9.0,1.0,3.0
PharmaCog,43.0,0.0,2.0,0.0,1.0,65.0,11.0,23.0
NACC,148.0,4.0,14.0,10.0,20.0,200.0,55.0,55.0
EMIF,294.0,17.0,10.0,9.0,42.0,410.0,59.0,173.0
DOD-ADNI,17.0,7.0,0.0,0.0,0.0,80.0,0.0,9.0
JADNI,54.0,0.0,1.0,0.0,18.0,66.0,5.0,53.0
