,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,258.0,23.0,5.0,0.0,28.0,454.0,14.0,235.0
EPAD,576.0,49.0,4.0,4.0,19.0,436.0,6.0,143.0
AIBL,14.0,0.0,2.0,1.0,0.0,30.0,1.0,9.0
ARWIBO,64.0,1.0,5.0,2.0,3.0,109.0,24.0,9.0
EDSD,18.0,2.0,3.0,1.0,5.0,29.0,8.0,19.0
PREVENT-AD,103.0,1.0,0.0,3.0,3.0,23.0,0.0,0.0
PharmaCog,48.0,0.0,0.0,1.0,7.0,72.0,0.0,17.0
NACC,148.0,4.0,9.0,13.0,19.0,202.0,43.0,68.0
EMIF,293.0,15.0,11.0,10.0,41.0,426.0,62.0,156.0
DOD-ADNI,43.0,7.0,4.0,0.0,0.0,51.0,1.0,7.0
JADNI,56.0,0.0,1.0,0.0,19.0,63.0,5.0,53.0
