,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,257.0,29.0,9.0,0.0,48.0,403.0,4.0,267.0
EPAD,587.0,59.0,4.0,3.0,19.0,400.0,9.0,156.0
AIBL,11.0,0.0,1.0,0.0,0.0,33.0,3.0,9.0
ARWIBO,63.0,2.0,8.0,1.0,0.0,101.0,36.0,6.0
EDSD,13.0,1.0,3.0,0.0,0.0,38.0,25.0,5.0
PREVENT-AD,21.0,4.0,0.0,3.0,3.0,94.0,1.0,7.0
PharmaCog,40.0,0.0,1.0,0.0,1.0,73.0,6.0,24.0
NACC,152.0,9.0,12.0,3.0,6.0,184.0,63.0,77.0
EMIF,296.0,19.0,13.0,9.0,38.0,390.0,75.0,174.0
DOD-ADNI,10.0,8.0,1.0,0.0,0.0,85.0,0.0,9.0
JADNI,50.0,0.0,1.0,0.0,17.0,70.0,5.0,54.0
