,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,264.0,35.0,22.0,0.0,4.0,356.0,64.0,272.0
EPAD,594.0,55.0,4.0,6.0,18.0,409.0,6.0,145.0
AIBL,16.0,0.0,0.0,1.0,1.0,31.0,0.0,8.0
ARWIBO,16.0,4.0,9.0,2.0,2.0,76.0,66.0,42.0
EDSD,16.0,1.0,3.0,1.0,6.0,33.0,7.0,18.0
PREVENT-AD,0.0,1.0,0.0,0.0,3.0,117.0,1.0,11.0
PharmaCog,48.0,0.0,0.0,2.0,24.0,70.0,0.0,1.0
NACC,190.0,5.0,10.0,2.0,9.0,190.0,49.0,51.0
EMIF,244.0,13.0,15.0,2.0,29.0,460.0,91.0,160.0
DOD-ADNI,86.0,14.0,0.0,4.0,0.0,6.0,0.0,3.0
JADNI,84.0,24.0,5.0,4.0,4.0,37.0,4.0,35.0
