,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,260.0,31.0,8.0,0.0,43.0,419.0,6.0,250.0
EPAD,598.0,48.0,7.0,4.0,17.0,418.0,6.0,139.0
AIBL,13.0,0.0,0.0,0.0,1.0,35.0,0.0,8.0
ARWIBO,64.0,7.0,1.0,5.0,12.0,92.0,14.0,22.0
EDSD,21.0,1.0,2.0,2.0,7.0,32.0,5.0,15.0
PREVENT-AD,117.0,12.0,1.0,3.0,0.0,0.0,0.0,0.0
PharmaCog,43.0,1.0,1.0,0.0,2.0,70.0,4.0,24.0
NACC,160.0,6.0,15.0,10.0,20.0,189.0,45.0,61.0
EMIF,279.0,14.0,7.0,5.0,44.0,456.0,50.0,159.0
DOD-ADNI,95.0,7.0,0.0,1.0,1.0,7.0,0.0,2.0
JADNI,53.0,0.0,1.0,0.0,29.0,70.0,2.0,42.0
