,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,275.0,35.0,8.0,0.0,53.0,390.0,3.0,253.0
EPAD,591.0,51.0,3.0,6.0,21.0,416.0,6.0,143.0
AIBL,20.0,0.0,2.0,0.0,1.0,26.0,0.0,8.0
ARWIBO,58.0,2.0,7.0,1.0,3.0,104.0,30.0,12.0
EDSD,20.0,1.0,5.0,1.0,0.0,30.0,23.0,5.0
PREVENT-AD,8.0,1.0,0.0,1.0,2.0,111.0,1.0,9.0
PharmaCog,47.0,0.0,0.0,2.0,22.0,71.0,0.0,3.0
NACC,166.0,2.0,11.0,4.0,12.0,204.0,55.0,52.0
EMIF,297.0,16.0,9.0,6.0,39.0,434.0,59.0,154.0
DOD-ADNI,43.0,12.0,2.0,1.0,0.0,46.0,0.0,9.0
JADNI,56.0,0.0,1.0,0.0,30.0,65.0,2.0,43.0
