,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,270.0,22.0,0.0,3.0,49.0,475.0,4.0,194.0
EPAD,594.0,46.0,6.0,4.0,15.0,428.0,4.0,140.0
AIBL,16.0,0.0,2.0,0.0,1.0,30.0,0.0,8.0
ARWIBO,54.0,2.0,6.0,1.0,4.0,97.0,41.0,12.0
EDSD,27.0,1.0,4.0,1.0,0.0,32.0,14.0,6.0
PREVENT-AD,45.0,4.0,0.0,0.0,0.0,77.0,2.0,5.0
PharmaCog,44.0,1.0,4.0,0.0,1.0,61.0,12.0,22.0
NACC,145.0,4.0,9.0,9.0,19.0,215.0,49.0,56.0
EMIF,297.0,19.0,13.0,9.0,37.0,393.0,82.0,164.0
DOD-ADNI,29.0,7.0,0.0,2.0,1.0,67.0,0.0,7.0
JADNI,56.0,0.0,1.0,0.0,20.0,66.0,3.0,51.0
