,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,272.0,33.0,10.0,0.0,39.0,398.0,6.0,259.0
EPAD,587.0,54.0,3.0,6.0,20.0,409.0,9.0,149.0
AIBL,20.0,0.0,2.0,0.0,0.0,25.0,1.0,9.0
ARWIBO,53.0,2.0,12.0,1.0,1.0,89.0,48.0,11.0
EDSD,26.0,0.0,3.0,2.0,0.0,36.0,11.0,7.0
PREVENT-AD,96.0,16.0,1.0,6.0,0.0,7.0,3.0,4.0
PharmaCog,46.0,1.0,2.0,0.0,2.0,70.0,3.0,21.0
NACC,184.0,5.0,10.0,3.0,9.0,178.0,62.0,55.0
EMIF,301.0,14.0,7.0,10.0,56.0,448.0,34.0,144.0
DOD-ADNI,4.0,4.0,0.0,0.0,2.0,93.0,0.0,10.0
JADNI,47.0,0.0,3.0,0.0,11.0,67.0,9.0,60.0
