,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,268.0,20.0,1.0,0.0,22.0,511.0,11.0,184.0
EPAD,596.0,57.0,0.0,6.0,24.0,405.0,5.0,144.0
AIBL,10.0,0.0,0.0,0.0,4.0,39.0,0.0,4.0
ARWIBO,51.0,9.0,5.0,5.0,4.0,80.0,32.0,31.0
EDSD,23.0,1.0,5.0,1.0,0.0,34.0,16.0,5.0
PREVENT-AD,81.0,19.0,6.0,4.0,0.0,14.0,2.0,7.0
PharmaCog,41.0,0.0,1.0,0.0,1.0,73.0,6.0,23.0
NACC,149.0,8.0,10.0,9.0,16.0,193.0,49.0,72.0
EMIF,304.0,18.0,16.0,6.0,26.0,380.0,89.0,175.0
DOD-ADNI,41.0,9.0,0.0,2.0,0.0,53.0,0.0,8.0
JADNI,56.0,0.0,1.0,0.0,36.0,68.0,2.0,34.0
