,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,263.0,30.0,8.0,0.0,32.0,434.0,12.0,238.0
EPAD,571.0,49.0,5.0,5.0,16.0,434.0,7.0,150.0
AIBL,14.0,2.0,1.0,0.0,0.0,24.0,6.0,10.0
ARWIBO,63.0,6.0,0.0,6.0,13.0,96.0,12.0,21.0
EDSD,24.0,0.0,1.0,2.0,1.0,48.0,5.0,4.0
PREVENT-AD,0.0,1.0,0.0,0.0,7.0,122.0,0.0,3.0
PharmaCog,43.0,2.0,3.0,1.0,2.0,62.0,8.0,24.0
NACC,159.0,4.0,10.0,3.0,8.0,203.0,60.0,59.0
EMIF,288.0,12.0,12.0,4.0,36.0,472.0,50.0,140.0
DOD-ADNI,29.0,8.0,1.0,0.0,0.0,67.0,0.0,8.0
JADNI,53.0,0.0,1.0,0.0,29.0,69.0,2.0,43.0
