,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,258.0,25.0,8.0,0.0,27.0,444.0,13.0,242.0
EPAD,596.0,52.0,3.0,6.0,21.0,412.0,6.0,141.0
AIBL,19.0,0.0,2.0,0.0,1.0,27.0,0.0,8.0
ARWIBO,51.0,8.0,6.0,3.0,4.0,82.0,32.0,31.0
EDSD,21.0,2.0,5.0,2.0,9.0,25.0,2.0,19.0
PREVENT-AD,0.0,1.0,0.0,0.0,4.0,113.0,2.0,13.0
PharmaCog,42.0,0.0,0.0,1.0,7.0,74.0,2.0,19.0
NACC,136.0,6.0,7.0,10.0,22.0,224.0,36.0,65.0
EMIF,295.0,18.0,11.0,9.0,45.0,414.0,58.0,164.0
DOD-ADNI,50.0,6.0,0.0,2.0,1.0,47.0,0.0,7.0
JADNI,60.0,1.0,4.0,0.0,20.0,45.0,4.0,63.0
