,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,274.0,22.0,5.0,0.0,17.0,493.0,21.0,185.0
EPAD,570.0,42.0,9.0,2.0,15.0,452.0,5.0,142.0
AIBL,9.0,0.0,1.0,0.0,0.0,35.0,3.0,9.0
ARWIBO,56.0,2.0,12.0,1.0,0.0,92.0,48.0,6.0
EDSD,22.0,0.0,3.0,2.0,0.0,39.0,14.0,5.0
PREVENT-AD,0.0,1.0,0.0,0.0,3.0,117.0,1.0,11.0
PharmaCog,46.0,2.0,1.0,0.0,2.0,63.0,8.0,23.0
NACC,135.0,5.0,9.0,5.0,11.0,211.0,59.0,71.0
EMIF,279.0,16.0,18.0,8.0,31.0,393.0,81.0,188.0
DOD-ADNI,0.0,9.0,29.0,0.0,0.0,0.0,67.0,8.0
JADNI,55.0,0.0,1.0,0.0,22.0,67.0,3.0,49.0
