,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,299.0,25.0,7.0,0.0,8.0,471.0,28.0,179.0
EPAD,567.0,50.0,4.0,6.0,18.0,436.0,6.0,150.0
AIBL,18.0,0.0,2.0,0.0,1.0,28.0,0.0,8.0
ARWIBO,57.0,2.0,5.0,1.0,3.0,106.0,33.0,10.0
EDSD,23.0,1.0,1.0,2.0,15.0,30.0,1.0,12.0
PREVENT-AD,103.0,9.0,0.0,1.0,1.0,15.0,1.0,3.0
PharmaCog,47.0,1.0,0.0,0.0,5.0,72.0,2.0,18.0
NACC,163.0,6.0,8.0,8.0,22.0,198.0,37.0,64.0
EMIF,301.0,15.0,9.0,12.0,52.0,441.0,36.0,148.0
DOD-ADNI,20.0,10.0,0.0,1.0,2.0,72.0,0.0,8.0
JADNI,54.0,0.0,2.0,0.0,13.0,63.0,7.0,58.0
