,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,266.0,32.0,8.0,0.0,37.0,419.0,9.0,246.0
EPAD,575.0,47.0,4.0,4.0,18.0,438.0,7.0,144.0
AIBL,15.0,0.0,2.0,0.0,0.0,30.0,1.0,9.0
ARWIBO,55.0,2.0,10.0,1.0,2.0,92.0,49.0,6.0
EDSD,18.0,2.0,4.0,2.0,9.0,29.0,2.0,19.0
PREVENT-AD,54.0,4.0,0.0,3.0,1.0,64.0,1.0,6.0
PharmaCog,47.0,1.0,4.0,0.0,1.0,60.0,10.0,22.0
NACC,168.0,7.0,13.0,2.0,12.0,200.0,47.0,57.0
EMIF,299.0,16.0,8.0,10.0,51.0,432.0,47.0,151.0
DOD-ADNI,5.0,6.0,0.0,2.0,0.0,89.0,0.0,11.0
JADNI,45.0,0.0,5.0,0.0,5.0,61.0,14.0,67.0
