,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,286.0,27.0,12.0,0.0,2.0,445.0,31.0,214.0
EPAD,594.0,55.0,4.0,6.0,18.0,409.0,6.0,145.0
AIBL,17.0,1.0,2.0,0.0,0.0,24.0,4.0,9.0
ARWIBO,63.0,1.0,4.0,2.0,0.0,112.0,29.0,6.0
EDSD,20.0,2.0,4.0,1.0,4.0,22.0,9.0,23.0
PREVENT-AD,0.0,1.0,0.0,0.0,0.0,122.0,2.0,8.0
PharmaCog,41.0,0.0,0.0,0.0,21.0,80.0,0.0,3.0
NACC,141.0,5.0,11.0,12.0,15.0,197.0,61.0,64.0
EMIF,279.0,16.0,14.0,5.0,35.0,416.0,82.0,167.0
DOD-ADNI,11.0,7.0,4.0,0.0,0.0,79.0,3.0,9.0
JADNI,56.0,0.0,0.0,0.0,41.0,72.0,2.0,26.0
