,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,262.0,24.0,14.0,0.0,3.0,464.0,29.0,221.0
EPAD,572.0,48.0,3.0,6.0,20.0,436.0,6.0,146.0
AIBL,17.0,1.0,1.0,3.0,4.0,20.0,0.0,11.0
ARWIBO,57.0,0.0,12.0,1.0,0.0,93.0,54.0,0.0
EDSD,22.0,0.0,3.0,2.0,0.0,38.0,15.0,5.0
PREVENT-AD,0.0,1.0,0.0,0.0,2.0,117.0,2.0,11.0
PharmaCog,45.0,1.0,2.0,0.0,1.0,68.0,5.0,23.0
NACC,173.0,7.0,7.0,3.0,12.0,191.0,50.0,63.0
EMIF,300.0,13.0,9.0,10.0,46.0,429.0,62.0,145.0
DOD-ADNI,2.0,5.0,1.0,0.0,0.0,92.0,1.0,12.0
JADNI,54.0,0.0,3.0,0.0,16.0,56.0,5.0,63.0
