,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,268.0,33.0,9.0,0.0,35.0,414.0,11.0,247.0
EPAD,591.0,51.0,3.0,6.0,22.0,417.0,6.0,141.0
AIBL,8.0,0.0,2.0,0.0,0.0,33.0,5.0,9.0
ARWIBO,42.0,0.0,27.0,1.0,0.0,57.0,90.0,0.0
EDSD,19.0,1.0,5.0,1.0,2.0,35.0,8.0,14.0
PREVENT-AD,71.0,12.0,0.0,7.0,1.0,35.0,1.0,6.0
PharmaCog,46.0,1.0,2.0,0.0,1.0,66.0,6.0,23.0
NACC,161.0,9.0,13.0,12.0,10.0,155.0,59.0,87.0
EMIF,225.0,23.0,17.0,81.0,97.0,314.0,93.0,164.0
DOD-ADNI,38.0,6.0,0.0,1.0,3.0,60.0,0.0,5.0
JADNI,55.0,0.0,1.0,0.0,20.0,76.0,2.0,43.0
