,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,277.0,24.0,5.0,0.0,14.0,477.0,23.0,197.0
EPAD,573.0,58.0,3.0,5.0,19.0,413.0,8.0,158.0
AIBL,27.0,2.0,2.0,0.0,0.0,17.0,2.0,7.0
ARWIBO,55.0,9.0,6.0,4.0,4.0,79.0,30.0,30.0
EDSD,20.0,1.0,4.0,1.0,2.0,37.0,9.0,11.0
PREVENT-AD,0.0,1.0,0.0,0.0,5.0,101.0,6.0,20.0
PharmaCog,38.0,3.0,7.0,0.0,1.0,42.0,28.0,26.0
NACC,182.0,7.0,10.0,4.0,10.0,174.0,61.0,58.0
EMIF,301.0,17.0,12.0,11.0,50.0,410.0,53.0,160.0
DOD-ADNI,24.0,10.0,1.0,1.0,2.0,67.0,0.0,8.0
JADNI,56.0,0.0,1.0,0.0,29.0,67.0,2.0,42.0
