,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,280.0,25.0,0.0,5.0,51.0,466.0,3.0,187.0
EPAD,598.0,52.0,4.0,5.0,20.0,412.0,6.0,140.0
AIBL,16.0,0.0,2.0,0.0,0.0,28.0,2.0,9.0
ARWIBO,58.0,2.0,13.0,1.0,1.0,80.0,51.0,11.0
EDSD,20.0,2.0,4.0,1.0,7.0,31.0,4.0,16.0
PREVENT-AD,78.0,16.0,4.0,6.0,0.0,19.0,2.0,8.0
PharmaCog,52.0,0.0,0.0,1.0,18.0,69.0,0.0,5.0
NACC,148.0,9.0,12.0,5.0,16.0,212.0,43.0,61.0
EMIF,288.0,20.0,11.0,9.0,49.0,414.0,60.0,163.0
DOD-ADNI,14.0,6.0,0.0,0.0,1.0,84.0,0.0,8.0
JADNI,52.0,0.0,3.0,0.0,11.0,64.0,7.0,60.0
