,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,250.0,30.0,0.0,21.0,169.0,312.0,0.0,235.0
EPAD,593.0,51.0,6.0,4.0,15.0,415.0,6.0,147.0
AIBL,15.0,0.0,2.0,1.0,0.0,29.0,1.0,9.0
ARWIBO,49.0,10.0,5.0,8.0,14.0,76.0,11.0,44.0
EDSD,20.0,1.0,5.0,1.0,0.0,29.0,24.0,5.0
PREVENT-AD,4.0,1.0,1.0,0.0,0.0,116.0,5.0,6.0
PharmaCog,46.0,0.0,0.0,3.0,29.0,66.0,0.0,1.0
NACC,179.0,8.0,12.0,2.0,7.0,182.0,54.0,62.0
EMIF,299.0,21.0,11.0,14.0,50.0,388.0,52.0,179.0
DOD-ADNI,47.0,8.0,1.0,1.0,0.0,48.0,0.0,8.0
JADNI,54.0,0.0,4.0,0.0,6.0,55.0,13.0,65.0
