,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,269.0,35.0,9.0,0.0,43.0,383.0,7.0,271.0
EPAD,587.0,51.0,4.0,4.0,17.0,423.0,6.0,145.0
AIBL,15.0,2.0,1.0,0.0,0.0,25.0,4.0,10.0
ARWIBO,58.0,3.0,9.0,1.0,4.0,90.0,35.0,17.0
EDSD,18.0,3.0,6.0,0.0,2.0,22.0,14.0,20.0
PREVENT-AD,91.0,10.0,3.0,0.0,0.0,23.0,1.0,5.0
PharmaCog,44.0,1.0,3.0,0.0,1.0,61.0,13.0,22.0
NACC,154.0,9.0,13.0,13.0,25.0,176.0,43.0,73.0
EMIF,295.0,17.0,8.0,8.0,43.0,420.0,49.0,174.0
DOD-ADNI,14.0,6.0,0.0,2.0,1.0,82.0,0.0,8.0
JADNI,56.0,0.0,1.0,0.0,28.0,68.0,2.0,42.0
