,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,254.0,25.0,5.0,0.0,37.0,444.0,10.0,242.0
EPAD,594.0,52.0,2.0,6.0,21.0,413.0,6.0,143.0
AIBL,22.0,0.0,2.0,0.0,1.0,23.0,1.0,8.0
ARWIBO,34.0,16.0,15.0,4.0,3.0,45.0,32.0,68.0
EDSD,23.0,1.0,1.0,2.0,15.0,31.0,1.0,11.0
PREVENT-AD,0.0,1.0,0.0,0.0,2.0,116.0,1.0,13.0
PharmaCog,44.0,2.0,1.0,1.0,3.0,65.0,5.0,24.0
NACC,189.0,4.0,10.0,1.0,3.0,196.0,61.0,42.0
EMIF,309.0,19.0,19.0,6.0,21.0,369.0,88.0,183.0
DOD-ADNI,37.0,4.0,0.0,5.0,3.0,59.0,0.0,5.0
JADNI,56.0,0.0,1.0,0.0,32.0,58.0,2.0,48.0
