,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,289.0,25.0,0.0,6.0,58.0,465.0,3.0,171.0
EPAD,579.0,52.0,2.0,6.0,20.0,426.0,6.0,146.0
AIBL,15.0,0.0,2.0,0.0,1.0,31.0,0.0,8.0
ARWIBO,53.0,0.0,17.0,1.0,0.0,73.0,73.0,0.0
EDSD,10.0,1.0,2.0,1.0,2.0,48.0,10.0,11.0
PREVENT-AD,94.0,1.0,0.0,3.0,3.0,32.0,0.0,0.0
PharmaCog,41.0,0.0,2.0,0.0,2.0,75.0,3.0,22.0
NACC,170.0,4.0,9.0,4.0,18.0,201.0,43.0,57.0
EMIF,293.0,17.0,12.0,9.0,36.0,405.0,64.0,178.0
DOD-ADNI,46.0,8.0,1.0,0.0,0.0,50.0,0.0,8.0
JADNI,54.0,0.0,1.0,0.0,31.0,70.0,2.0,39.0
