,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,255.0,25.0,7.0,0.0,50.0,421.0,3.0,256.0
EPAD,593.0,54.0,4.0,6.0,17.0,407.0,9.0,147.0
AIBL,15.0,0.0,2.0,0.0,0.0,29.0,2.0,9.0
ARWIBO,60.0,1.0,5.0,2.0,0.0,111.0,35.0,3.0
EDSD,22.0,1.0,3.0,1.0,0.0,38.0,15.0,5.0
PREVENT-AD,0.0,1.0,0.0,0.0,9.0,106.0,1.0,16.0
PharmaCog,49.0,1.0,2.0,0.0,1.0,62.0,8.0,22.0
NACC,181.0,5.0,7.0,3.0,7.0,194.0,55.0,54.0
EMIF,298.0,14.0,7.0,11.0,52.0,451.0,36.0,145.0
DOD-ADNI,55.0,2.0,1.0,0.0,2.0,48.0,0.0,5.0
JADNI,56.0,0.0,1.0,0.0,31.0,53.0,4.0,52.0
