,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,268.0,31.0,8.0,0.0,28.0,433.0,13.0,236.0
EPAD,597.0,49.0,3.0,5.0,18.0,421.0,4.0,140.0
AIBL,16.0,0.0,2.0,0.0,0.0,28.0,2.0,9.0
ARWIBO,59.0,3.0,8.0,1.0,4.0,93.0,35.0,14.0
EDSD,3.0,0.0,2.0,1.0,7.0,50.0,4.0,18.0
PREVENT-AD,97.0,15.0,0.0,11.0,0.0,7.0,0.0,3.0
PharmaCog,46.0,0.0,0.0,1.0,20.0,75.0,0.0,3.0
NACC,179.0,5.0,11.0,1.0,7.0,197.0,62.0,44.0
EMIF,291.0,21.0,16.0,15.0,42.0,383.0,79.0,167.0
DOD-ADNI,57.0,2.0,0.0,2.0,3.0,45.0,0.0,4.0
JADNI,50.0,0.0,5.0,0.0,3.0,60.0,14.0,65.0
