,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,282.0,25.0,3.0,0.0,26.0,482.0,13.0,186.0
EPAD,597.0,52.0,4.0,5.0,20.0,413.0,6.0,140.0
AIBL,15.0,0.0,2.0,1.0,0.0,28.0,2.0,9.0
ARWIBO,20.0,1.0,1.0,1.0,10.0,142.0,19.0,23.0
EDSD,22.0,1.0,3.0,1.0,2.0,36.0,9.0,11.0
PREVENT-AD,104.0,1.0,0.0,1.0,0.0,27.0,0.0,0.0
PharmaCog,47.0,0.0,0.0,2.0,10.0,71.0,0.0,15.0
NACC,137.0,4.0,4.0,11.0,33.0,227.0,36.0,54.0
EMIF,287.0,14.0,16.0,4.0,27.0,418.0,94.0,154.0
DOD-ADNI,32.0,12.0,2.0,0.0,0.0,58.0,0.0,9.0
JADNI,50.0,0.0,5.0,0.0,6.0,58.0,12.0,66.0
