,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,266.0,18.0,5.0,0.0,8.0,511.0,28.0,181.0
EPAD,598.0,51.0,3.0,6.0,21.0,416.0,3.0,139.0
AIBL,15.0,0.0,2.0,1.0,0.0,28.0,2.0,9.0
ARWIBO,47.0,9.0,5.0,7.0,6.0,77.0,20.0,46.0
EDSD,22.0,2.0,5.0,1.0,4.0,23.0,8.0,20.0
PREVENT-AD,0.0,1.0,0.0,0.0,7.0,111.0,1.0,13.0
PharmaCog,42.0,0.0,2.0,0.0,1.0,71.0,5.0,24.0
NACC,176.0,7.0,10.0,4.0,10.0,182.0,53.0,64.0
EMIF,288.0,15.0,7.0,9.0,50.0,433.0,56.0,156.0
DOD-ADNI,7.0,3.0,0.0,3.0,5.0,89.0,0.0,6.0
JADNI,55.0,0.0,1.0,0.0,19.0,64.0,5.0,53.0
