,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,280.0,24.0,4.0,0.0,20.0,479.0,16.0,194.0
EPAD,575.0,47.0,4.0,4.0,20.0,438.0,5.0,144.0
AIBL,10.0,2.0,0.0,0.0,0.0,33.0,2.0,10.0
ARWIBO,55.0,2.0,12.0,1.0,0.0,88.0,53.0,6.0
EDSD,19.0,1.0,3.0,1.0,0.0,41.0,15.0,5.0
PREVENT-AD,0.0,1.0,0.0,0.0,0.0,115.0,3.0,14.0
PharmaCog,42.0,0.0,0.0,0.0,24.0,78.0,0.0,1.0
NACC,168.0,6.0,11.0,11.0,10.0,175.0,62.0,63.0
EMIF,287.0,15.0,9.0,26.0,87.0,406.0,40.0,144.0
DOD-ADNI,34.0,8.0,0.0,2.0,0.0,61.0,0.0,8.0
JADNI,53.0,0.0,1.0,0.0,36.0,71.0,2.0,34.0
