,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,290.0,25.0,5.0,0.0,18.0,474.0,21.0,184.0
EPAD,579.0,58.0,2.0,4.0,21.0,411.0,8.0,154.0
AIBL,15.0,1.0,1.0,2.0,6.0,21.0,0.0,11.0
ARWIBO,51.0,2.0,14.0,1.0,1.0,80.0,62.0,6.0
EDSD,27.0,0.0,1.0,2.0,0.0,44.0,6.0,5.0
PREVENT-AD,64.0,7.0,0.0,1.0,1.0,53.0,1.0,6.0
PharmaCog,45.0,1.0,2.0,0.0,1.0,66.0,8.0,22.0
NACC,167.0,9.0,14.0,14.0,18.0,170.0,45.0,69.0
EMIF,270.0,14.0,17.0,6.0,29.0,409.0,99.0,170.0
DOD-ADNI,8.0,9.0,1.0,1.0,1.0,84.0,0.0,9.0
JADNI,47.0,0.0,6.0,0.0,4.0,59.0,15.0,66.0
