,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,275.0,35.0,10.0,0.0,45.0,383.0,6.0,263.0
EPAD,588.0,58.0,2.0,4.0,20.0,403.0,9.0,153.0
AIBL,15.0,0.0,2.0,1.0,0.0,28.0,2.0,9.0
ARWIBO,61.0,1.0,6.0,2.0,2.0,107.0,31.0,7.0
EDSD,27.0,2.0,4.0,1.0,0.0,32.0,13.0,6.0
PREVENT-AD,95.0,6.0,0.0,2.0,0.0,25.0,1.0,4.0
PharmaCog,41.0,0.0,1.0,0.0,1.0,73.0,6.0,23.0
NACC,136.0,7.0,7.0,12.0,16.0,209.0,47.0,72.0
EMIF,298.0,14.0,11.0,7.0,40.0,443.0,55.0,146.0
DOD-ADNI,70.0,10.0,0.0,1.0,0.0,26.0,0.0,6.0
JADNI,51.0,0.0,2.0,0.0,13.0,66.0,7.0,58.0
