,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,260.0,26.0,5.0,0.0,44.0,430.0,7.0,245.0
EPAD,606.0,54.0,4.0,5.0,19.0,409.0,5.0,135.0
AIBL,18.0,0.0,2.0,0.0,0.0,26.0,2.0,9.0
ARWIBO,59.0,6.0,7.0,2.0,6.0,83.0,28.0,26.0
EDSD,20.0,1.0,5.0,1.0,0.0,32.0,21.0,5.0
PREVENT-AD,8.0,1.0,0.0,1.0,1.0,111.0,2.0,9.0
PharmaCog,45.0,0.0,0.0,0.0,4.0,74.0,2.0,20.0
NACC,152.0,5.0,10.0,5.0,15.0,216.0,42.0,61.0
EMIF,251.0,12.0,8.0,4.0,44.0,490.0,53.0,152.0
DOD-ADNI,42.0,9.0,0.0,4.0,1.0,49.0,0.0,8.0
JADNI,54.0,0.0,1.0,0.0,20.0,75.0,2.0,45.0
