,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,258.0,31.0,11.0,0.0,37.0,408.0,9.0,263.0
EPAD,594.0,51.0,3.0,6.0,20.0,414.0,6.0,143.0
AIBL,18.0,0.0,2.0,0.0,1.0,27.0,1.0,8.0
ARWIBO,66.0,6.0,8.0,3.0,6.0,77.0,27.0,24.0
EDSD,19.0,1.0,5.0,1.0,0.0,38.0,14.0,7.0
PREVENT-AD,108.0,9.0,3.0,1.0,0.0,10.0,0.0,2.0
PharmaCog,50.0,1.0,3.0,0.0,1.0,61.0,6.0,23.0
NACC,185.0,3.0,11.0,6.0,33.0,210.0,20.0,38.0
EMIF,285.0,17.0,12.0,15.0,49.0,394.0,74.0,168.0
DOD-ADNI,87.0,13.0,0.0,0.0,0.0,10.0,0.0,3.0
JADNI,55.0,0.0,2.0,0.0,17.0,60.0,7.0,56.0
