,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,273.0,25.0,12.0,0.0,0.0,462.0,32.0,213.0
EPAD,585.0,52.0,2.0,7.0,23.0,420.0,5.0,143.0
AIBL,6.0,0.0,2.0,0.0,0.0,33.0,7.0,9.0
ARWIBO,50.0,0.0,11.0,1.0,0.0,89.0,66.0,0.0
EDSD,17.0,2.0,3.0,2.0,10.0,31.0,3.0,17.0
PREVENT-AD,51.0,11.0,0.0,26.0,6.0,32.0,0.0,7.0
PharmaCog,40.0,0.0,2.0,0.0,1.0,67.0,11.0,24.0
NACC,172.0,6.0,12.0,6.0,18.0,193.0,44.0,55.0
EMIF,302.0,16.0,9.0,8.0,45.0,438.0,48.0,148.0
DOD-ADNI,41.0,12.0,2.0,0.0,0.0,49.0,0.0,9.0
JADNI,50.0,0.0,1.0,0.0,20.0,70.0,5.0,51.0
