,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,263.0,37.0,5.0,0.0,66.0,381.0,3.0,262.0
EPAD,576.0,47.0,3.0,6.0,21.0,438.0,3.0,143.0
AIBL,9.0,0.0,1.0,0.0,0.0,35.0,3.0,9.0
ARWIBO,56.0,3.0,9.0,1.0,3.0,90.0,37.0,18.0
EDSD,21.0,1.0,4.0,1.0,2.0,36.0,9.0,11.0
PREVENT-AD,99.0,23.0,3.0,6.0,0.0,1.0,1.0,0.0
PharmaCog,38.0,0.0,1.0,0.0,2.0,76.0,6.0,22.0
NACC,165.0,9.0,10.0,13.0,22.0,163.0,47.0,77.0
EMIF,284.0,20.0,7.0,35.0,93.0,364.0,52.0,159.0
DOD-ADNI,12.0,5.0,0.0,1.0,2.0,85.0,0.0,8.0
JADNI,54.0,0.0,1.0,0.0,24.0,70.0,2.0,46.0
