,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,275.0,33.0,10.0,0.0,23.0,418.0,16.0,242.0
EPAD,588.0,52.0,5.0,5.0,16.0,417.0,7.0,147.0
AIBL,19.0,2.0,1.0,0.0,0.0,24.0,1.0,10.0
ARWIBO,46.0,5.0,0.0,10.0,38.0,84.0,2.0,32.0
EDSD,23.0,1.0,6.0,0.0,0.0,32.0,18.0,5.0
PREVENT-AD,100.0,7.0,0.0,2.0,0.0,20.0,1.0,3.0
PharmaCog,43.0,0.0,2.0,0.0,1.0,71.0,5.0,23.0
NACC,158.0,7.0,8.0,3.0,12.0,214.0,44.0,60.0
EMIF,288.0,21.0,17.0,9.0,30.0,375.0,77.0,197.0
DOD-ADNI,14.0,11.0,1.0,0.0,0.0,76.0,1.0,10.0
JADNI,65.0,4.0,5.0,1.0,11.0,48.0,7.0,56.0
