,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,263.0,25.0,4.0,0.0,38.0,440.0,10.0,237.0
EPAD,590.0,52.0,5.0,5.0,16.0,415.0,7.0,147.0
AIBL,15.0,0.0,2.0,1.0,0.0,29.0,1.0,9.0
ARWIBO,49.0,2.0,9.0,1.0,1.0,86.0,57.0,12.0
EDSD,20.0,2.0,4.0,1.0,5.0,24.0,7.0,22.0
PREVENT-AD,0.0,1.0,0.0,0.0,10.0,118.0,0.0,4.0
PharmaCog,45.0,1.0,2.0,0.0,2.0,70.0,3.0,22.0
NACC,166.0,2.0,6.0,3.0,10.0,224.0,49.0,46.0
EMIF,290.0,13.0,12.0,6.0,40.0,432.0,58.0,163.0
DOD-ADNI,12.0,7.0,0.0,3.0,0.0,82.0,0.0,9.0
JADNI,54.0,0.0,1.0,0.0,15.0,74.0,3.0,50.0
