,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,293.0,25.0,2.0,0.0,21.0,483.0,13.0,180.0
EPAD,598.0,56.0,5.0,5.0,16.0,408.0,6.0,143.0
AIBL,18.0,0.0,2.0,0.0,1.0,28.0,0.0,8.0
ARWIBO,53.0,2.0,15.0,1.0,0.0,73.0,67.0,6.0
EDSD,20.0,1.0,5.0,1.0,0.0,37.0,16.0,5.0
PREVENT-AD,110.0,1.0,0.0,5.0,1.0,16.0,0.0,0.0
PharmaCog,38.0,1.0,6.0,0.0,1.0,52.0,22.0,25.0
NACC,184.0,6.0,6.0,10.0,18.0,186.0,44.0,52.0
EMIF,301.0,15.0,9.0,8.0,43.0,433.0,54.0,151.0
DOD-ADNI,9.0,6.0,0.0,0.0,1.0,88.0,0.0,9.0
JADNI,52.0,0.0,1.0,0.0,26.0,73.0,2.0,43.0
