,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,263.0,34.0,1.0,7.0,107.0,361.0,0.0,244.0
EPAD,584.0,51.0,3.0,5.0,21.0,425.0,6.0,142.0
AIBL,11.0,0.0,1.0,0.0,0.0,33.0,3.0,9.0
ARWIBO,60.0,5.0,8.0,2.0,4.0,84.0,36.0,18.0
EDSD,21.0,1.0,4.0,1.0,0.0,38.0,14.0,6.0
PREVENT-AD,0.0,1.0,0.0,0.0,7.0,110.0,1.0,14.0
PharmaCog,45.0,1.0,2.0,0.0,1.0,68.0,5.0,23.0
NACC,174.0,9.0,8.0,15.0,23.0,172.0,37.0,68.0
EMIF,222.0,22.0,10.0,58.0,126.0,320.0,59.0,197.0
DOD-ADNI,4.0,3.0,0.0,1.0,3.0,93.0,0.0,9.0
JADNI,54.0,0.0,1.0,0.0,16.0,66.0,6.0,54.0
