,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,285.0,24.0,6.0,0.0,15.0,474.0,27.0,186.0
EPAD,597.0,53.0,2.0,7.0,23.0,412.0,4.0,139.0
AIBL,16.0,0.0,2.0,0.0,0.0,28.0,2.0,9.0
ARWIBO,56.0,0.0,15.0,1.0,0.0,84.0,61.0,0.0
EDSD,20.0,1.0,5.0,1.0,0.0,34.0,17.0,7.0
PREVENT-AD,113.0,1.0,0.0,1.0,0.0,18.0,0.0,0.0
PharmaCog,44.0,1.0,2.0,0.0,2.0,73.0,2.0,21.0
NACC,181.0,7.0,10.0,3.0,10.0,179.0,54.0,62.0
EMIF,281.0,15.0,14.0,5.0,33.0,418.0,74.0,174.0
DOD-ADNI,30.0,6.0,0.0,3.0,2.0,66.0,0.0,6.0
JADNI,55.0,0.0,1.0,0.0,19.0,63.0,5.0,54.0
