,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,263.0,23.0,15.0,0.0,0.0,466.0,38.0,212.0
EPAD,569.0,49.0,5.0,5.0,18.0,436.0,6.0,149.0
AIBL,20.0,0.0,2.0,0.0,0.0,25.0,1.0,9.0
ARWIBO,56.0,2.0,13.0,1.0,1.0,85.0,48.0,11.0
EDSD,21.0,1.0,5.0,0.0,0.0,37.0,16.0,5.0
PREVENT-AD,105.0,7.0,0.0,2.0,0.0,15.0,2.0,2.0
PharmaCog,40.0,0.0,1.0,0.0,1.0,74.0,6.0,23.0
NACC,169.0,3.0,5.0,4.0,15.0,213.0,45.0,52.0
EMIF,357.0,26.0,14.0,18.0,23.0,345.0,63.0,168.0
DOD-ADNI,11.0,5.0,0.0,5.0,1.0,83.0,0.0,8.0
JADNI,0.0,6.0,75.0,0.0,0.0,0.0,58.0,58.0
