,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,282.0,25.0,4.0,0.0,22.0,483.0,15.0,186.0
EPAD,580.0,52.0,5.0,5.0,15.0,423.0,9.0,148.0
AIBL,1.0,0.0,10.0,0.0,0.0,9.0,28.0,9.0
ARWIBO,51.0,8.0,8.0,3.0,2.0,73.0,39.0,33.0
EDSD,19.0,2.0,3.0,1.0,6.0,34.0,5.0,15.0
PREVENT-AD,104.0,11.0,0.0,1.0,1.0,13.0,1.0,2.0
PharmaCog,46.0,1.0,2.0,0.0,1.0,67.0,5.0,23.0
NACC,140.0,7.0,10.0,14.0,17.0,179.0,55.0,84.0
EMIF,305.0,19.0,15.0,6.0,29.0,398.0,78.0,164.0
DOD-ADNI,7.0,7.0,0.0,2.0,0.0,87.0,0.0,10.0
JADNI,83.0,15.0,4.0,1.0,7.0,47.0,4.0,36.0
