,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,278.0,25.0,7.0,0.0,4.0,471.0,35.0,197.0
EPAD,591.0,55.0,4.0,4.0,16.0,405.0,11.0,151.0
AIBL,2.0,2.0,0.0,8.0,20.0,13.0,0.0,12.0
ARWIBO,55.0,9.0,8.0,3.0,3.0,71.0,37.0,31.0
EDSD,12.0,1.0,3.0,1.0,3.0,43.0,9.0,13.0
PREVENT-AD,97.0,9.0,0.0,1.0,1.0,20.0,1.0,4.0
PharmaCog,42.0,2.0,2.0,0.0,1.0,63.0,12.0,23.0
NACC,153.0,5.0,11.0,12.0,15.0,181.0,58.0,71.0
EMIF,280.0,14.0,15.0,7.0,35.0,415.0,83.0,165.0
DOD-ADNI,35.0,9.0,0.0,1.0,0.0,60.0,0.0,8.0
JADNI,53.0,0.0,0.0,3.0,71.0,41.0,2.0,27.0
