,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,275.0,33.0,8.0,0.0,34.0,413.0,10.0,244.0
EPAD,597.0,52.0,3.0,7.0,22.0,412.0,5.0,139.0
AIBL,15.0,0.0,3.0,0.0,0.0,28.0,2.0,9.0
ARWIBO,0.0,6.0,0.0,62.0,108.0,3.0,0.0,38.0
EDSD,21.0,1.0,7.0,1.0,0.0,27.0,23.0,5.0
PREVENT-AD,90.0,10.0,0.0,13.0,3.0,13.0,0.0,4.0
PharmaCog,50.0,0.0,0.0,2.0,24.0,68.0,0.0,1.0
NACC,146.0,2.0,11.0,2.0,8.0,234.0,57.0,46.0
EMIF,290.0,16.0,16.0,6.0,26.0,406.0,85.0,169.0
DOD-ADNI,9.0,9.0,0.0,1.0,2.0,83.0,0.0,9.0
JADNI,56.0,0.0,1.0,0.0,17.0,64.0,5.0,54.0
