,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,279.0,35.0,8.0,0.0,45.0,396.0,3.0,251.0
EPAD,582.0,61.0,4.0,4.0,15.0,401.0,8.0,162.0
AIBL,18.0,0.0,0.0,0.0,0.0,31.0,0.0,8.0
ARWIBO,45.0,4.0,0.0,17.0,50.0,75.0,0.0,26.0
EDSD,23.0,1.0,3.0,0.0,0.0,38.0,16.0,4.0
PREVENT-AD,69.0,22.0,0.0,29.0,1.0,5.0,0.0,7.0
PharmaCog,43.0,1.0,1.0,0.0,2.0,64.0,9.0,25.0
NACC,177.0,3.0,0.0,5.0,37.0,230.0,28.0,26.0
EMIF,303.0,12.0,11.0,5.0,31.0,468.0,48.0,136.0
DOD-ADNI,51.0,4.0,0.0,3.0,2.0,48.0,0.0,5.0
JADNI,56.0,0.0,1.0,0.0,19.0,65.0,5.0,51.0
