,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,288.0,25.0,0.0,3.0,38.0,473.0,5.0,185.0
EPAD,575.0,47.0,3.0,4.0,22.0,441.0,2.0,143.0
AIBL,12.0,0.0,1.0,0.0,0.0,32.0,3.0,9.0
ARWIBO,60.0,2.0,7.0,1.0,3.0,101.0,34.0,9.0
EDSD,21.0,0.0,3.0,2.0,0.0,44.0,8.0,7.0
PREVENT-AD,85.0,8.0,0.0,4.0,0.0,29.0,1.0,6.0
PharmaCog,43.0,1.0,2.0,0.0,1.0,70.0,5.0,23.0
NACC,115.0,2.0,8.0,4.0,14.0,254.0,52.0,57.0
EMIF,307.0,18.0,12.0,9.0,42.0,419.0,63.0,144.0
DOD-ADNI,83.0,12.0,0.0,0.0,0.0,14.0,0.0,4.0
JADNI,48.0,3.0,5.0,0.0,6.0,39.0,7.0,89.0
