,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,291.0,23.0,4.0,0.0,11.0,492.0,19.0,177.0
EPAD,594.0,55.0,4.0,6.0,19.0,409.0,5.0,145.0
AIBL,11.0,0.0,1.0,0.0,0.0,33.0,3.0,9.0
ARWIBO,52.0,4.0,10.0,2.0,3.0,84.0,42.0,20.0
EDSD,21.0,1.0,5.0,0.0,0.0,32.0,22.0,4.0
PREVENT-AD,91.0,15.0,0.0,8.0,0.0,10.0,2.0,7.0
PharmaCog,41.0,0.0,1.0,0.0,2.0,75.0,4.0,22.0
NACC,160.0,4.0,5.0,3.0,9.0,213.0,54.0,58.0
EMIF,302.0,15.0,15.0,8.0,30.0,401.0,80.0,163.0
DOD-ADNI,53.0,6.0,0.0,1.0,2.0,45.0,1.0,5.0
JADNI,43.0,4.0,9.0,0.0,6.0,31.0,10.0,94.0
